img: input\IMG_0620.JPG, mathes: 4507, good: 96, delta: 4411, time/size: 0.9410176951699774 sec, localization error: 407.6628570527188
img: input\IMG_0621.JPG, mathes: 4507, good: 168, delta: 4339, time/size: 1.1374765596803622 sec, localization error: 559.7352619819032
img: input\IMG_0622.JPG, mathes: 4507, good: 108, delta: 4399, time/size: 0.9113624998255868 sec, localization error: 482.47487367881894
img: input\IMG_0623.JPG, mathes: 4507, good: 70, delta: 4437, time/size: 0.9499364648655714 sec, localization error: 145.19521411538562
img: input\IMG_0625.JPG, mathes: 4507, good: 127, delta: 4380, time/size: 1.124610936926823 sec, localization error: 163.5906421388473
img: input\IMG_0626.JPG, mathes: 4507, good: 51, delta: 4456, time/size: 0.946695845639535 sec, localization error: 85.49437047328149
img: input\IMG_0628.JPG, mathes: 4507, good: 38, delta: 4469, time/size: 1.5154606427121502 sec, localization error: 40.70995466450575
img: input\IMG_0629.JPG, mathes: 4507, good: 53, delta: 4454, time/size: 1.5182064891573928 sec, localization error: 94.75758216173409
img: input\IMG_0630.JPG, mathes: 4507, good: 68, delta: 4439, time/size: 0.8671140735106996 sec, localization error: 219.50648906562972
img: input\IMG_0631.JPG, mathes: 4507, good: 141, delta: 4366, time/size: 0.738762316769962 sec, localization error: 200.5378474636428
img: input\IMG_0632.JPG, mathes: 4507, good: 99, delta: 4408, time/size: 1.0673836136860133 sec, localization error: 239.55545649538308
img: input\IMG_0633.JPG, mathes: 4507, good: 99, delta: 4408, time/size: 1.151235507203799 sec, localization error: 1166.5763401668953
img: input\IMG_0635.JPG, mathes: 4507, good: 35, delta: 4472, time/size: 0.8253895243772807 sec, localization error: 537.1598238611533
img: input\IMG_0636.JPG, mathes: 4507, good: 49, delta: 4458, time/size: 0.8496461455646073 sec, localization error: 374.41048065993283
img: input\IMG_0637.JPG, mathes: 4507, good: 52, delta: 4455, time/size: 0.8913100922593588 sec, localization error: 10.952438848482766
img: input\IMG_0638.JPG, mathes: 4507, good: 34, delta: 4473, time/size: 0.7413978184896309 sec, localization error: 385.63408561694484
img: input\IMG_0639.JPG, mathes: 4507, good: 51, delta: 4456, time/size: 0.8054211056024575 sec, localization error: 897.7141760237403
img: input\IMG_0640.JPG, mathes: 4507, good: 42, delta: 4465, time/size: 0.93158306277705 sec, localization error: 223.98564717554007
img: input\IMG_0641.JPG, mathes: 4507, good: 26, delta: 4481, time/size: 0.9810012404057799 sec, localization error: 45.96906459889402
img: input\IMG_0642.JPG, mathes: 4507, good: 42, delta: 4465, time/size: 0.8086262917421652 sec, localization error: 31.842800250492346
img: input\IMG_0643.JPG, mathes: 4507, good: 47, delta: 4460, time/size: 0.742640267538533 sec, localization error: 7.345943622626555
img: input\IMG_0644.JPG, mathes: 4507, good: 79, delta: 4428, time/size: 0.8928409896616076 sec, localization error: 356.9566746504777
img: input\IMG_0645.JPG, mathes: 4507, good: 44, delta: 4463, time/size: 0.8720997908773634 sec, localization error: 1722.542658408955
img: input\IMG_0646.JPG, mathes: 4507, good: 131, delta: 4376, time/size: 0.8970919680125556 sec, localization error: 823.995399812559
img: input\IMG_0647.JPG, mathes: 4507, good: 25, delta: 4482, time/size: 0.885626075051434 sec, localization error: 1066.8691186323629
img: input\IMG_0648.JPG, mathes: 4507, good: 54, delta: 4453, time/size: 0.7827713987014971 sec, localization error: 2761.065721342624
img: input\IMG_0649.JPG, mathes: 4507, good: 34, delta: 4473, time/size: 0.7527831658682784 sec, localization error: 2706.4526436784877
img: input\IMG_0650.JPG, mathes: 4507, good: 60, delta: 4447, time/size: 0.9178763908292868 sec, localization error: 1522.515195754564
img: input\IMG_0651.JPG, mathes: 4507, good: 49, delta: 4458, time/size: 0.7939300044837093 sec, localization error: 1058.1357791937346
img: input\IMG_0652.JPG, mathes: 4507, good: 32, delta: 4475, time/size: 0.639312490870497 sec, localization error: 1701.2636045720028
img: input\IMG_0653.JPG, mathes: 4507, good: 52, delta: 4455, time/size: 0.8896630957834386 sec, localization error: 3088.701711314249
img: input\IMG_0654.JPG, mathes: 4507, good: 119, delta: 4388, time/size: 0.7594315727160041 sec, localization error: 304.85707856951376
img: input\IMG_0655.JPG, mathes: 4507, good: 172, delta: 4335, time/size: 1.110384484031389 sec, localization error: 235.89868250895228
img: input\IMG_0656.JPG, mathes: 4507, good: 85, delta: 4422, time/size: 1.0946219521841156 sec, localization error: 459.30377715749694
img: input\IMG_0657.JPG, mathes: 4507, good: 53, delta: 4454, time/size: 0.9111161637764398 sec, localization error: 543.9471981891369
img: input\IMG_0658.JPG, mathes: 4507, good: 394, delta: 4113, time/size: 0.971643570189866 sec, localization error: 732.1902367431783
img: input\IMG_0659.JPG, mathes: 4507, good: 394, delta: 4113, time/size: 0.8376698321483118 sec, localization error: 996.7853525887035
img: input\IMG_0661.JPG, mathes: 4507, good: 52, delta: 4455, time/size: 1.1531904607549244 sec, localization error: 1048.9557395703252
img: input\IMG_0664.JPG, mathes: 4507, good: 218, delta: 4289, time/size: 1.2248071059245085 sec, localization error: 452.1725200468347
img: input\IMG_0665.JPG, mathes: 4507, good: 48, delta: 4459, time/size: 1.1723616924190141 sec, localization error: 830.0793214979166
img: input\IMG_0666.JPG, mathes: 4507, good: 36, delta: 4471, time/size: 0.9747085456185377 sec, localization error: 191.6558709903112
img: input\IMG_0667.JPG, mathes: 4507, good: 33, delta: 4474, time/size: 0.8757880781838089 sec, localization error: 205.85947989179937
img: input\IMG_E0631.JPG, mathes: 4507, good: 132, delta: 4375, time/size: 0.8990758681917899 sec, localization error: 179.2446055928019
img: input\IMG_E0632.JPG, mathes: 4507, good: 88, delta: 4419, time/size: 1.2766113544968691 sec, localization error: 258.4597841290872
img: input\IMG_E0633.JPG, mathes: 4507, good: 66, delta: 4441, time/size: 1.2512139196449437 sec, localization error: 671.0097244538431
img: input\IMG_E0634.JPG, mathes: 4507, good: 150, delta: 4357, time/size: 1.3333142014557555 sec, localization error: 450.63329276019397
